ID,history,reopenings,comments,score1,score2
CAMEL-8224,"Date: 2015-07-09T04:16:24.099-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8223,"Date: 2015-01-09T05:25:55.224-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8222,"Date: 2015-01-12T04:47:32.285-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8221,"Date: 2016-05-05T09:56:24.481-07:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8220,"Date: 2015-01-14T02:43:11.926-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8219,"Date: 2016-05-29T23:46:00.329-07:00, From: Open To: Resolved",0,4,3,-2
CAMEL-8218,"Date: 2015-01-07T22:52:45.092-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8217,"Date: 2015-01-08T23:09:34.202-08:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8216,"Date: 2015-01-07T10:50:20.304-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8215,"Date: 2015-02-15T08:40:05.877-08:00, From: Open To: Resolved",0,10,1,-2
CAMEL-8214,"Date: 2015-01-07T10:51:31.178-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8213,"Date: 2015-01-09T00:10:39.365-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8212,"Date: 2015-01-13T03:36:12.269-08:00, From: Open To: Resolved",0,2,2,-1
CAMEL-8211,"Date: 2016-03-07T08:08:39.934-08:00, From: Open To: In ProgressDate: 2016-03-11T04:23:41.794-08:00, From: In Progress To: Resolved",0,7,3,-2
CAMEL-8210,"Date: 2015-01-06T22:36:42.339-08:00, From: Open To: Resolved",0,1,1,-2
CAMEL-8209,"Date: 2015-01-12T04:48:18.356-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8208,"Date: 2017-04-07T01:52:59.016-07:00, From: Open To: Resolved",0,11,2,-3
