ID,history,reopenings,comments,score1,score2
CLOUDSTACK-10173,"Date: 2017-12-19T01:06:15.683-08:00, From: Open To: Resolved",0,22,2,-2
CLOUDSTACK-10172,"Date: 2017-12-05T00:28:18.428-08:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10171,"Date: 2017-12-17T11:40:11.798-08:00, From: Open To: Closed",0,2,1,-1
CLOUDSTACK-10170,,0,0,1,-1
CLOUDSTACK-10169,,0,0,1,-1
CLOUDSTACK-10168,"Date: 2017-12-20T12:40:44.237-08:00, From: Open To: Resolved",0,15,1,-3
CLOUDSTACK-10167,,0,2,1,-1
CLOUDSTACK-10166,"Date: 2018-02-12T13:06:42.742-08:00, From: Open To: Resolved",0,23,2,-2
CLOUDSTACK-10165,,0,0,1,-1
CLOUDSTACK-10164,"Date: 2017-12-11T03:43:18.141-08:00, From: Open To: ResolvedDate: 2017-12-11T08:01:41.364-08:00, From: Resolved To: Closed",0,12,3,-2
CLOUDSTACK-10163,,0,41,2,-3
CLOUDSTACK-10162,,0,0,1,-1
CLOUDSTACK-10161,,0,10,3,-2
CLOUDSTACK-10160,"Date: 2017-12-17T12:47:40.279-08:00, From: Open To: Closed",0,19,2,-2
CLOUDSTACK-10159,,0,1,2,-2
CLOUDSTACK-10158,,0,1,1,-1
CLOUDSTACK-10157,"Date: 2017-12-19T00:44:12.774-08:00, From: Open To: Resolved",0,7,2,-2
CLOUDSTACK-10156,"Date: 2017-11-22T13:57:13.057-08:00, From: Open To: In ProgressDate: 2017-11-22T13:57:16.458-08:00, From: In Progress To: ReviewableDate: 2017-11-23T02:21:03.158-08:00, From: Reviewable To: Resolved",0,5,2,-2
CLOUDSTACK-10155,,0,0,1,-1
CLOUDSTACK-10154,"Date: 2017-12-19T00:44:39.275-08:00, From: Open To: Resolved",0,23,2,-2
CLOUDSTACK-10153,"Date: 2017-11-22T02:10:48.744-08:00, From: Open To: In ProgressDate: 2017-12-19T01:05:19.226-08:00, From: In Progress To: ReviewableDate: 2017-12-19T01:05:28.232-08:00, From: Reviewable To: Open",1,20,2,-2
CLOUDSTACK-10152,"Date: 2017-12-19T00:45:10.726-08:00, From: Open To: Resolved",0,12,2,-2
CLOUDSTACK-10151,,0,0,1,-1
CLOUDSTACK-10150,,0,0,1,-1
CLOUDSTACK-10149,,0,0,1,-1
CLOUDSTACK-10148,,0,0,1,-1
CLOUDSTACK-10147,"Date: 2018-03-13T09:29:21.430-07:00, From: Open To: Resolved",0,31,3,-2
CLOUDSTACK-10146,"Date: 2017-12-30T07:31:32.474-08:00, From: Open To: In ProgressDate: 2018-03-19T17:52:13.100-07:00, From: In Progress To: Resolved",0,174,3,-2
CLOUDSTACK-10145,,0,2,1,-2
CLOUDSTACK-10144,"Date: 2017-12-08T02:31:04.307-08:00, From: Open To: Closed",0,14,2,-2
CLOUDSTACK-10143,,0,0,1,-1
CLOUDSTACK-10142,"Date: 2017-12-19T00:46:20.434-08:00, From: Open To: Resolved",0,2,1,-1
CLOUDSTACK-10141,,0,6,2,-2
CLOUDSTACK-10140,"Date: 2017-12-12T07:02:11.463-08:00, From: Open To: Resolved",0,33,3,-3
CLOUDSTACK-10139,,0,0,1,-1
CLOUDSTACK-10138,"Date: 2017-12-19T00:46:57.495-08:00, From: Open To: Resolved",0,21,2,-2
CLOUDSTACK-10137,"Date: 2017-12-17T12:49:20.194-08:00, From: Open To: Closed",0,8,2,-2
CLOUDSTACK-10136,"Date: 2017-12-17T12:06:06.924-08:00, From: Open To: Resolved",0,14,2,-2
CLOUDSTACK-10135,"Date: 2017-12-19T00:47:44.091-08:00, From: Open To: Resolved",0,21,2,-2
CLOUDSTACK-10134,,0,28,1,-2
CLOUDSTACK-10133,"Date: 2017-12-19T00:48:04.981-08:00, From: Open To: Resolved",0,10,1,-2
CLOUDSTACK-10132,"Date: 2018-02-27T02:50:56.865-08:00, From: Open To: In ProgressDate: 2018-02-27T02:51:01.167-08:00, From: In Progress To: ReviewableDate: 2018-03-20T23:13:15.562-07:00, From: Reviewable To: Resolved",0,137,2,-2
CLOUDSTACK-10131,,0,0,1,-1
CLOUDSTACK-10130,,0,0,1,-1
